province,ID,year,quarter,pop_dens,literacy,in_migration,pop,urban_rural_ratio,cases,incidence,diff
binh duong,75,2011,4,630.91,96.2,64.8,1699930,1.8176890818982,335,19.706693805039,-0.314928425357873
binh duong,75,2014,4,734.06,97.2,70.2,1977840,3.34212952799122,441,22.2970513287222,-0.0850622406639004
binh duong,75,2012,2,664.23,97.1,59.1,1789710,1.81056251766701,461,25.7583630867571,0.0525114155251141
binh duong,75,2014,1,734.06,97.2,70.2,1977840,3.34212952799122,446,22.5498523641953,0.0179927086089778
binh duong,75,2014,2,734.06,97.2,70.2,1977840,3.34212952799122,492,24.8756218905473,0.103139013452915
binh duong,75,2015,3,767.96,97.3,52,2069200,3.29561968029894,601,29.0450415619563,0.157996146435453
binh duong,75,2015,2,767.96,97.3,52,2069200,3.29561968029894,519,25.0821573554997,-0.0989583333333333
binh duong,75,2013,2,695.32,97.2,54.5,1873480,1.80268078867845,465,24.8201208446314,-0.0148305084745762
binh duong,75,2012,4,664.23,97.1,59.1,1789710,1.81056251766701,388,21.6794899732359,-0.0324189526184539
binh duong,75,2013,1,695.32,97.2,54.5,1873480,1.80268078867845,472,25.1937570724,0.162101004382604
binh duong,75,2015,4,767.96,97.3,52,2069200,3.29561968029894,501,24.2122559443263,-0.166389351081531
binh duong,75,2011,1,630.91,96.2,64.8,1699930,1.8176890818982,455,26.765808003859,0
binh duong,75,2013,4,695.32,97.2,54.5,1873480,1.80268078867845,415,22.1512906462839,-0.15650406504065
binh phuoc,76,2014,4,135.98,92.7,8,934370,0.250481798715203,159,17.0168134678982,-0.145161290322581
binh phuoc,76,2015,4,137.84,93.4,3.1,947200,0.261923794297895,154,16.2584459459459,-0.189473684210526
binh phuoc,76,2014,2,135.98,92.7,8,934370,0.250481798715203,176,18.8362211971703,-0.0167597765363128
binh phuoc,76,2014,1,135.98,92.7,8,934370,0.250481798715203,179,19.1572931493948,0.0530695625318204
binh phuoc,76,2013,3,134.39,93.3,7.1,923490,0.239683732918087,223,24.1475273148599,0.259887005649717
binh phuoc,76,2015,1,137.84,93.4,3.1,947200,0.261923794297895,176,18.5810810810811,0.0919248257691653
binh phuoc,76,2012,4,132.63,92.8,6.7,911350,0.229444062217546,175,19.2022823284139,-0.0384615384615385
binh phuoc,76,2011,2,130.91,94.9,10.9,899570,0.219709296019091,214,23.789143701991,0.229885057471264
binh phuoc,76,2011,4,130.91,94.9,10.9,899570,0.219709296019091,140,15.56299120691,-0.292929292929293
binh phuoc,76,2012,1,132.63,92.8,6.7,911350,0.229444062217546,207,22.7135568113239,0.459459592911615
binh phuoc,76,2014,3,135.98,92.7,8,934370,0.250481798715203,186,19.9064610379186,0.0568181818181818
binh phuoc,76,2012,3,132.63,92.8,6.7,911350,0.229444062217546,182,19.9703736215504,-0.0990099009900991
binh phuoc,76,2013,2,134.39,93.3,7.1,923490,0.239683732918087,177,19.166423025696,-0.0220994475138122
binh phuoc,76,2011,3,130.91,94.9,10.9,899570,0.219709296019091,198,22.010516135487,-0.0747663551401869
binh phuoc,76,2015,3,137.84,93.4,3.1,947200,0.261923794297895,190,20.0591216216216,-0.054726368159204
binh phuoc,76,2013,4,134.39,93.3,7.1,923490,0.239683732918087,168,18.1918591430335,-0.246636771300448
binh phuoc,76,2011,1,130.91,94.9,10.9,899570,0.219709296019091,174,19.342574785731,0
binh phuoc,76,2013,1,134.39,93.3,7.1,923490,0.239683732918087,181,19.5995625291016,0.0206892177655262
binh phuoc,76,2015,2,137.84,93.4,3.1,947200,0.261923794297895,201,21.2204391891892,0.142045454545455
binh phuoc,76,2012,2,132.63,92.8,6.7,911350,0.229444062217546,202,22.1649201733692,-0.0241545893719807
binh thuan,47,2015,3,154.28,93.3,1,1205400,0.627599243856333,350,29.0360046457607,0.0233918128654971
binh thuan,47,2011,4,151.12,93.9,2.1,1180680,0.640562472209871,241,20.4119659857032,-0.297376093294461
binh thuan,47,2012,1,152.26,93.3,2.3,1189590,0.637290794979079,364,30.5987777301423,0.499060783835039
binh thuan,47,2015,2,154.28,93.3,1,1205400,0.627599243856333,342,28.3723245395719,0.2
binh thuan,47,2011,3,151.12,93.9,2.1,1180680,0.640562472209871,343,29.0510553240505,0.0457317073170732
binh thuan,47,2012,3,152.26,93.3,2.3,1189590,0.637290794979079,343,28.8334636303264,-0.1425
binh thuan,47,2015,4,154.28,93.3,1,1205400,0.627599243856333,285,23.6436037829766,-0.185714285714286
